#Saved Data from the class confocal_logic on 15.06.2026 at 14h25m59s.
#
#Parameters:
#===========
#
#X image min (m): 9.9999999999999995e-08
#X image max (m): 2.0000000000000001e-04
#X image range (m): 1.9990000000000001e-04
#Y image min: 9.9999999999999995e-08
#Y image max: 2.0000000000000001e-04
#Y image range: 1.9990000000000001e-04
#XY resolution (samples per range): 200
#XY Image at z position (m): 2.1848226020267184e-05
#Clock frequency of scanner (Hz): 500
#Return Slowness (Steps during retrace line): 50
#
#Data:
#=====
#x position (m)	y position (m)	z position (m)	count rate /Dev1/Ctr3 (Hz)	
7.644372e-05	1.104523e-06	2.184823e-05	1.050000e+04
7.744824e-05	1.104523e-06	2.184823e-05	1.450000e+04
7.845276e-05	1.104523e-06	2.184823e-05	1.050000e+04
7.945729e-05	1.104523e-06	2.184823e-05	1.200000e+04
8.046181e-05	1.104523e-06	2.184823e-05	1.050000e+04
8.146633e-05	1.104523e-06	2.184823e-05	9.500000e+03
8.247085e-05	1.104523e-06	2.184823e-05	1.150000e+04
8.347538e-05	1.104523e-06	2.184823e-05	9.500000e+03
8.447990e-05	1.104523e-06	2.184823e-05	1.250000e+04
8.548442e-05	1.104523e-06	2.184823e-05	8.500000e+03
8.648894e-05	1.104523e-06	2.184823e-05	8.000000e+03
8.749347e-05	1.104523e-06	2.184823e-05	1.450000e+04
8.849799e-05	1.104523e-06	2.184823e-05	1.150000e+04
8.950251e-05	1.104523e-06	2.184823e-05	1.250000e+04
9.050704e-05	1.104523e-06	2.184823e-05	9.000000e+03
9.151156e-05	1.104523e-06	2.184823e-05	1.350000e+04
9.251608e-05	1.104523e-06	2.184823e-05	9.000000e+03
9.352060e-05	1.104523e-06	2.184823e-05	6.500000e+03
9.452513e-05	1.104523e-06	2.184823e-05	1.200000e+04
9.552965e-05	1.104523e-06	2.184823e-05	7.500000e+03
9.653417e-05	1.104523e-06	2.184823e-05	1.300000e+04
9.753869e-05	1.104523e-06	2.184823e-05	1.150000e+04
9.854322e-05	1.104523e-06	2.184823e-05	1.800000e+04
9.954774e-05	1.104523e-06	2.184823e-05	1.200000e+04
1.005523e-04	1.104523e-06	2.184823e-05	1.000000e+04
1.015568e-04	1.104523e-06	2.184823e-05	9.000000e+03
1.025613e-04	1.104523e-06	2.184823e-05	1.450000e+04
1.035658e-04	1.104523e-06	2.184823e-05	8.500000e+03
1.045704e-04	1.104523e-06	2.184823e-05	6.500000e+03
1.055749e-04	1.104523e-06	2.184823e-05	1.100000e+04
1.065794e-04	1.104523e-06	2.184823e-05	1.200000e+04
1.075839e-04	1.104523e-06	2.184823e-05	9.000000e+03
1.085884e-04	1.104523e-06	2.184823e-05	9.500000e+03
1.095930e-04	1.104523e-06	2.184823e-05	1.150000e+04
1.105975e-04	1.104523e-06	2.184823e-05	1.250000e+04
1.116020e-04	1.104523e-06	2.184823e-05	9.000000e+03
1.126065e-04	1.104523e-06	2.184823e-05	7.500000e+03
1.136111e-04	1.104523e-06	2.184823e-05	1.350000e+04
1.146156e-04	1.104523e-06	2.184823e-05	7.500000e+03
1.156201e-04	1.104523e-06	2.184823e-05	8.500000e+03
1.166246e-04	1.104523e-06	2.184823e-05	1.200000e+04
1.176291e-04	1.104523e-06	2.184823e-05	3.500000e+03
1.186337e-04	1.104523e-06	2.184823e-05	7.500000e+03
1.196382e-04	1.104523e-06	2.184823e-05	8.500000e+03
1.206427e-04	1.104523e-06	2.184823e-05	1.050000e+04
1.216472e-04	1.104523e-06	2.184823e-05	8.000000e+03
1.226518e-04	1.104523e-06	2.184823e-05	1.800000e+04
1.236563e-04	1.104523e-06	2.184823e-05	1.050000e+04
1.246608e-04	1.104523e-06	2.184823e-05	1.400000e+04
1.256653e-04	1.104523e-06	2.184823e-05	1.350000e+04
1.266698e-04	1.104523e-06	2.184823e-05	8.500000e+03
1.276744e-04	1.104523e-06	2.184823e-05	9.000000e+03
1.286789e-04	1.104523e-06	2.184823e-05	1.200000e+04
1.296834e-04	1.104523e-06	2.184823e-05	1.100000e+04
1.306879e-04	1.104523e-06	2.184823e-05	7.500000e+03
1.316925e-04	1.104523e-06	2.184823e-05	9.000000e+03
1.326970e-04	1.104523e-06	2.184823e-05	1.450000e+04
1.337015e-04	1.104523e-06	2.184823e-05	9.000000e+03
1.347060e-04	1.104523e-06	2.184823e-05	6.500000e+03
1.357106e-04	1.104523e-06	2.184823e-05	1.150000e+04
1.367151e-04	1.104523e-06	2.184823e-05	6.500000e+03
1.377196e-04	1.104523e-06	2.184823e-05	1.000000e+04
1.387241e-04	1.104523e-06	2.184823e-05	4.500000e+03
1.397286e-04	1.104523e-06	2.184823e-05	1.050000e+04
1.407332e-04	1.104523e-06	2.184823e-05	1.300000e+04
1.417377e-04	1.104523e-06	2.184823e-05	1.050000e+04
1.427422e-04	1.104523e-06	2.184823e-05	1.000000e+04
1.437467e-04	1.104523e-06	2.184823e-05	1.350000e+04
1.447513e-04	1.104523e-06	2.184823e-05	1.050000e+04
1.457558e-04	1.104523e-06	2.184823e-05	8.500000e+03
1.467603e-04	1.104523e-06	2.184823e-05	1.100000e+04
1.477648e-04	1.104523e-06	2.184823e-05	8.500000e+03
1.487693e-04	1.104523e-06	2.184823e-05	1.250000e+04
1.497739e-04	1.104523e-06	2.184823e-05	1.350000e+04
1.507784e-04	1.104523e-06	2.184823e-05	1.100000e+04
1.517829e-04	1.104523e-06	2.184823e-05	1.000000e+04
1.527874e-04	1.104523e-06	2.184823e-05	2.150000e+04
1.537920e-04	1.104523e-06	2.184823e-05	1.050000e+04
1.547965e-04	1.104523e-06	2.184823e-05	1.200000e+04
1.558010e-04	1.104523e-06	2.184823e-05	1.250000e+04
1.568055e-04	1.104523e-06	2.184823e-05	5.500000e+03
1.578101e-04	1.104523e-06	2.184823e-05	1.550000e+04
1.588146e-04	1.104523e-06	2.184823e-05	6.500000e+03
1.598191e-04	1.104523e-06	2.184823e-05	1.200000e+04
1.608236e-04	1.104523e-06	2.184823e-05	1.100000e+04
1.618281e-04	1.104523e-06	2.184823e-05	1.100000e+04
1.628327e-04	1.104523e-06	2.184823e-05	7.000000e+03
1.638372e-04	1.104523e-06	2.184823e-05	1.250000e+04
1.648417e-04	1.104523e-06	2.184823e-05	7.000000e+03
1.658462e-04	1.104523e-06	2.184823e-05	1.250000e+04
1.668508e-04	1.104523e-06	2.184823e-05	9.000000e+03
1.678553e-04	1.104523e-06	2.184823e-05	1.050000e+04
1.688598e-04	1.104523e-06	2.184823e-05	9.500000e+03
1.698643e-04	1.104523e-06	2.184823e-05	1.250000e+04
1.708688e-04	1.104523e-06	2.184823e-05	9.000000e+03
1.718734e-04	1.104523e-06	2.184823e-05	6.000000e+03
1.728779e-04	1.104523e-06	2.184823e-05	1.450000e+04
1.738824e-04	1.104523e-06	2.184823e-05	7.000000e+03
1.748869e-04	1.104523e-06	2.184823e-05	9.500000e+03
1.758915e-04	1.104523e-06	2.184823e-05	1.150000e+04
1.768960e-04	1.104523e-06	2.184823e-05	6.000000e+03
1.779005e-04	1.104523e-06	2.184823e-05	1.200000e+04
1.789050e-04	1.104523e-06	2.184823e-05	8.500000e+03
1.799095e-04	1.104523e-06	2.184823e-05	7.500000e+03
1.809141e-04	1.104523e-06	2.184823e-05	9.000000e+03
